1,Olivia Martinez,8,66,54,80,41,52,77,63,61.86,Pass
8,Michael Hall,8,71,100,36,51,74,67,61,63.96,Pass
11,Abigail Wilson,8,63,66,60,64,60,52,76,63.0,Pass
26,"Chloe Lee  ",8,65,66,68,53,46,61,66,60.71,Pass
28,Jack Campbell,8,49,59,77,63,60,65,73,63.71,Pass
40,Ava Moore,8,78,43,92,76,42,66,80,68.14,Pass
41,Thomas  Anderson,8,60,55,59,54,66,70,59,60.43,Pass
52,Chloe Phillips,8,78,54,52,70,76,45,51,60.86,PAss
59,Christopher Roberts,8,97,63,80,53,80,84,83,77.14,Pass
62,Thomas Jackson,8,43,84,62,67,79,79,81,72.96,Pass
71,Logan Clark,8,51,86,70,70,46,63,51,62.43,Pass
73,"Caleb Allen  ",8,67,71,71,71,69,68,73,70.0,Pass
86,Jessica Young,8,47,56,57,48,73,72,61,59.14,Pass
90,Ella White,8,73,49,40,55,71,56,66,58.57,Pass
91,Nathan Nelson,8,54,70,66,45,73,75,43,60.86,Pass
92,Leah Clark,8,73,60,50,49,87,67,78,66.29,Pass
102,william taylor,8,62,48,64,49,61,59,58,57.29,Pass
106,Alexander Lee,8,54,69,73,68,37,60,79,62.86,Pass
114,Ethan Thomas,8,63,79,80,73,58,65,50,66.86,Pass
119,William Martinez,8,68,44,55,51,66,92,89,64.68,Pass
123,Dylan Williams,8,62,81,63,86,70,50,76,69.71,Pass
134,Poppy Phillips,8,97,70,80,78,87,70,71,79.0,Pass
145,Emily Harris,8,57,40,100,41,40,45,75,55.11,Pass
156,Thomas Wright,8,77,55,31,79,92,68,100,71.71,Pass
168,Michael Moore,8,64,65,57,53,60,78,54,61.57,Pass
170,Chloe Campbell,8,84,73,71,41,71,69,56,66.43,Pass
171,Matthew Evans,8,75,58,68,68,81,57,75,67.11,Pass
179,Noah Jones,8,54,52,62,82,60,55,81,63.71,Pass
187,Taylor King,8,81,48,49,52,29,59,62,54.29,Pass
199,Kayla Wilson,8,69,84,66,51,33,37,67,58.14,Pass
