9,Jack Adams,9,27,54%,75,79,54,76,80,63.57,Pass
15,Sarah Jones,9,62,66,43,72,61,43,51,56.86,Pass
16,Ruby Williams,9,69,37,61,57,64,47,65,57.14,Pass
18,Daniel Nelson,09,63,67,36,76,66,67,84,65.57,Pass
22,Nathan Walker,9,58,67,52,66,39,81,100,66.14,Pass
25,Abigail Lewis,9,58,56,48,72,65,86,35,60.0,PASS
34,Sarah Robinson,9,36,61,76,57,55,42,63,55.71,Pass
36,Noah Robinson,9,63,43,68,71,69,77,59,64.29,Pass
38,Nathan Wilson,9,46,74,63,76,76,66,64,66.43,"Pass "
42,Grace Robinson,9,63,83,83,69,46,68,37,64.14,Pass
50,Andrew Walker,9,43,68,58,75,65,87,52,64.0,Pass
51,Lucas Wilson,9,51,62,67,51,55,92,78,65.14,Pass
53,Zoe Williams,9,55,92,68,74,70,66,76,71.57,Pass
56,Ella Brown,9,55,76,52,69,64,46,77,60.96,Pass
66,Grace Nelson,9,81,67,49,57,51,58,100,67.14,Pass
"67 ",Caleb Scott,9,86,74,75,55,79,69,60,71.14,Pass
72,Kayla Taylor,9,64,69,74,58,43,69,69,63.71,Pass
76,Nathan Robinson,9,43,58,79,68,88,80,68,69.14,Pass
84,Noah Davies,G9,58,74,68,72,79,84,100,76.43,Pass
94,Amelia Lee,9,71,61,42,73,46,66,90,62.39,Pass
95,Emily Allen,9,64,83,84,33,48,78,64,64.86,Pass
96,Benjamin Baker,9,64,60,56,78,62,72,47,62.71,Pass
98,Isabella Thomas,9,66,57,63,63,79,51,67,63.71,Pass
103,Samantha Young,9,55,64,72,84,56,64,72,66.71,Pass
104,Aiden Robinson,9,56,51,62,71,71,84,59,64.86,Pass
108,Layla Hall,9,55,49,70,60,59,61,"67,0",60.14,Pass
111,Jayden Martin,9,66,93,60,73,51,76,80,71.29,Pass
112,Lily Allen,9,56,73,53,59,77,62,47,61.0,Pass
122,Christopher Phillips,9,93,52,52,56,39,96,78,66.57,Pass
128,Taylor Martinez,9,74,67,59,45,48,77,60,61.43,Passed
130,Noah Garcia,9,77,59,85,66,70,69,86,73.14,Pass
131,Caleb Clark,9,61,76,44,80,45,76,57,62.71,Pass
ID133,Ruby Jones,9,94,61,69,92,47,85,91,77.0,Pass
137,Jayden Garcia,9,76,56,49,48,50,57,79,59.29,Pass
139,Alexander Robinson,9,73,42,70,50,62,70,71,62.57,Pass
142,Nadia Carter,9,69,72,78,66,42,68,71,66.57,Pass
149,Amelia   Roberts,9,73,59,31,47,65,74,63,58.86,Pass
152,William Lee,9,58,43,69,65,47,39,53,55.68,Pass
154,Matthew Roberts,9,61,54,63,79,57,64,72,64.29,Pass
157,Nadia Thomas,9,86,71,83,64,69,71,56,71.43,Pass
161,Nicole White,9,37,62,75,71,80,70,50,63.57,Pass
162,Lily Wilson,9,61,45,76,67,84,50,73,65.14,Pass
173,Jack Jones,9,60,56,72,76,70,71,56,65.86,Pass
176,Ethan Moore,9,70,68,80,91,83,68,94,79.14,Pass
178,Aiden Hall,9,73,63,59,52,60,54,71,63.96,Pass
184,Daniel Phillips,9,51,62,63,97,62,76,42,62.96,Pass
