2,Lucas Lee,12,69,60,74,80,65,81,75,72.00,Pass
12,Aiden Brown,12,64,58,76,41,37,76,55,58.14,Pass
17,Emily Martin,12,59,74,56,65,59,78,70,65.86,Pass
19,Ava Lee,12,34,57,71,49,69,49,62,55.86,Pass
21,David Parker,12,78,63,46,54,55,77,92,66.43,Pass
31,Chloe White,12,70,63,78,60,67,58,44,62.86,Pass
45,Taylor Davies,12,82,60,48,77,73,86,51,68.14,Pass
46,Isabella Roberts,12,72,67,68,62,41,82,53,63.57,Pass
54,James Jones,12,29,70,91,31,76,47,78,60.29,Pass
55,Taylor Wright,12,70,63,70,56,34,77,84,64.86,Pass
58,Samantha Moore,12,67,60,81,62,54,75,51,64.29,Pass
60,Leah Thompson,12,58,52,67,71,50,58,56,58.86,Pass
61,Logan Phillips,12,44,35,66,69,71,67,73,60.71,Pass
63,Mason Adams,12,66,36,70,49,57,82,79,62.71,Pass
80,Sofia Martinez,12,50,66,77,74,59,57,41,60.57,Pass
85,Nadia Jones,12,54,48,58,69,61,57,67,59.14,Pass
89,Maya Martin,12,45,74,82,47,65,77,66,65.14,Pass
105,Emily Davies,12,61,67,65,52,66,47,57,59.29,Pass
115,Noah Taylor,12,68,77,70,71,87,58,47,68.29,Pass
117,Logan Martin,12,71,73,80,89,63,84,73,76.14,Pass
121,Daniel Carter,12,65,63,45,59,87,60,85,66.29,Pass
124,Lucas Evans,12,76,82,56,47,61,58,80,65.71,Pass
127,Maya Williams,12,82,78,84,87,78,81,31,74.43,Pass
132,Jack Nelson,12,68,87,66,57,68,62,76,69.14,Pass
135,David Roberts,12,88,52,94,66,67,99,48,73.43,Pass
136,Ruby Carter,12,35,51,82,69,61,87,33,59.71,Pass
148,Poppy Nelson,12,64,61,66,59,93,54,62,65.57,Pass
153,Nathan Adams,12,52,84,58,43,60,65,60,60.29,Pass
159,Mia Martinez,12,81,47,70,65,47,59,53,60.29,Pass
160,Henry Scott,12,82,61,68,68,85,79,67,72.86,Pass
169,Daniel Evans,12,36,92,61,74,88,79,80,72.86,Pass
175,Taylor Hall,12,66,88,85,60,77,88,84,78.29,Pass
177,Noah Smith,12,89,57,68,71,61,56,68,67.14,Pass
189,Michael Miller,12,56,68,60,74,95,79,53,69.29,Pass
195,Liam Green,12,56,58,71,48,62,70,62,61.00,Pass
200,Mia Thompson,12,71,66,70,62,62,48,82,65.86,Pass
189,Michael Miller,12,56,68,60,74,95,79,53,69.29,Pass
